[0509/113936.557:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x2e5c06532400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0509/114612.297:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x6e9c078eb600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/114612.324:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x6e9c078eb600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/114612.344:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x6e9c078eb600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/114612.366:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x6e9c078eb600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0509/114818.407:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x6b14055b1e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/114818.432:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x6b14055b1e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/114818.445:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x6b14055b1e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/114818.471:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x6b14055b1e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0509/115131.311:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x6c9c03f9d400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/115131.337:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x6c9c03f9d400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/115131.353:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x6c9c03f9d400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/115131.376:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x6c9c03f9d400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0509/115701.526:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x2c6c04578800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/115701.554:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x2c6c04578800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/115701.570:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x2c6c04578800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/115701.592:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x2c6c04578800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0509/115826.610:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x52fc001b7c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/115826.640:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x52fc001b7c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/115826.664:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x52fc001b7c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/115826.688:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x52fc001b7c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0509/115837.722:ERROR:gpu\ipc\client\command_buffer_proxy_impl.cc:484] GPU state invalid after WaitForGetOffsetInRange.
[0509/162332.483:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x1344052f0600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/162332.525:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x1344052f0600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/162332.538:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x1344052f0600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/162332.565:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x1344052f0600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0509/162532.846:ERROR:gpu\ipc\client\command_buffer_proxy_impl.cc:484] GPU state invalid after WaitForGetOffsetInRange.
[0509/162547.087:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x4244001aea00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/162547.115:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x4244001aea00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/162547.134:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x4244001aea00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/162547.368:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x4244066de000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0509/162612.348:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x2cbc001b6a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/162612.376:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x2cbc001b6a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/162612.400:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x2cbc001b6a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
